r,l,rm
1.0,91,../experiments/water/reward_machines/t1.txt
1.0,62,../experiments/water/reward_machines/t2.txt
1.0,69,../experiments/water/reward_machines/t3.txt
1.0,177,../experiments/water/reward_machines/t4.txt
1.0,137,../experiments/water/reward_machines/t5.txt
1.0,121,../experiments/water/reward_machines/t6.txt
1.0,178,../experiments/water/reward_machines/t7.txt
1.0,305,../experiments/water/reward_machines/t8.txt
0.0,42,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,72,../experiments/water/reward_machines/t1.txt
1.0,97,../experiments/water/reward_machines/t2.txt
1.0,143,../experiments/water/reward_machines/t3.txt
1.0,300,../experiments/water/reward_machines/t4.txt
1.0,335,../experiments/water/reward_machines/t5.txt
1.0,268,../experiments/water/reward_machines/t6.txt
1.0,341,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
